salary,family_members,district,expense,savings
25000,2,Chennai,19000,6000
30000,3,Chennai,24000,6000
45000,4,Chennai,35000,10000
60000,5,Chennai,47000,13000
28000,2,Coimbatore,20000,8000
35000,3,Coimbatore,25000,10000
50000,4,Coimbatore,37000,13000
70000,5,Coimbatore,52000,18000
22000,2,Madurai,16000,6000
32000,3,Madurai,24000,8000
48000,4,Madurai,35000,13000
65000,5,Madurai,47000,18000
24000,2,Salem,17000,7000
36000,3,Salem,26000,10000
52000,4,Salem,39000,13000
68000,5,Salem,50000,18000
23000,2,Erode,16500,6500
34000,3,Erode,25000,9000
51000,4,Erode,38000,13000
72000,5,Erode,53000,19000
26000,2,Tiruppur,19000,7000
37000,3,Tiruppur,28000,9000
54000,4,Tiruppur,41000,13000
76000,5,Tiruppur,56000,20000
21000,2,Trichy,15000,6000
33000,3,Trichy,24000,9000
49000,4,Trichy,36000,13000
66000,5,Trichy,48000,18000
20000,2,Vellore,14500,5500
31000,3,Vellore,22500,8500
47000,4,Vellore,34000,13000
63000,5,Vellore,45000,18000
22000,2,Tirunelveli,15500,6500
34000,3,Tirunelveli,25000,9000
50000,4,Tirunelveli,36000,14000
69000,5,Tirunelveli,50000,19000
23000,2,Thoothukudi,16500,6500
35000,3,Thoothukudi,26000,9000
51000,4,Thoothukudi,38000,13000
70000,5,Thoothukudi,52000,18000
21000,2,Dindigul,15000,6000
32000,3,Dindigul,23500,8500
48000,4,Dindigul,35000,13000
65000,5,Dindigul,47000,18000
22000,2,Thanjavur,15500,6500
33000,3,Thanjavur,24000,9000
49000,4,Thanjavur,36000,13000
66000,5,Thanjavur,48000,18000
24000,2,Namakkal,17000,7000
35000,3,Namakkal,25500,9500
52000,4,Namakkal,39000,13000
71000,5,Namakkal,52000,19000
20000,2,Karur,14500,5500
30000,3,Karur,22000,8000
46000,4,Karur,34000,12000
62000,5,Karur,45000,17000
21000,2,Kanyakumari,15000,6000
32000,3,Kanyakumari,23500,8500
48000,4,Kanyakumari,35000,13000
65000,5,Kanyakumari,47000,18000
22000,2,Krishnagiri,15500,6500
34000,3,Krishnagiri,25000,9000
50000,4,Krishnagiri,37000,13000
68000,5,Krishnagiri,50000,18000
23000,2,Dharmapuri,16000,7000
35000,3,Dharmapuri,25500,9500
51000,4,Dharmapuri,38000,13000
70000,5,Dharmapuri,52000,18000
21000,2,Cuddalore,15000,6000
33000,3,Cuddalore,24000,9000
49000,4,Cuddalore,36000,13000
67000,5,Cuddalore,49000,18000
20000,2,Nagapattinam,14500,5500
31000,3,Nagapattinam,22500,8500
47000,4,Nagapattinam,34000,13000
63000,5,Nagapattinam,45000,18000
22000,2,Sivaganga,15500,6500
34000,3,Sivaganga,25000,9000
50000,4,Sivaganga,37000,13000
69000,5,Sivaganga,51000,18000
23000,2,Ramanathapuram,16000,7000
35000,3,Ramanathapuram,25500,9500
51000,4,Ramanathapuram,38000,13000
71000,5,Ramanathapuram,53000,18000
24000,2,Virudhunagar,17000,7000
36000,3,Virudhunagar,26500,9500
52000,4,Virudhunagar,39000,13000
72000,5,Virudhunagar,54000,18000
21000,2,Tenkasi,15000,6000
32000,3,Tenkasi,23500,8500
48000,4,Tenkasi,35000,13000
65000,5,Tenkasi,47000,18000
22000,2,Tiruvallur,16000,6000
34000,3,Tiruvallur,25000,9000
50000,4,Tiruvallur,37000,13000
68000,5,Tiruvallur,50000,18000
23000,2,Kanchipuram,16500,6500
35000,3,Kanchipuram,26000,9000
52000,4,Kanchipuram,39000,13000
70000,5,Kanchipuram,52000,18000
24000,2,Tiruvannamalai,17000,7000
36000,3,Tiruvannamalai,26500,9500
53000,4,Tiruvannamalai,40000,13000
73000,5,Tiruvannamalai,55000,18000
25000,2,Nilgiris,18000,7000
37000,3,Nilgiris,27500,9500
54000,4,Nilgiris,41000,13000
75000,5,Nilgiris,56000,19000
